terrain,rang,positions_attendues,longueur_m,espacement_m,porte_greffe,origine_position_1,a_verifier
T1,1,22,67.0,3.05,MM106,,
T1,2,25,66.0,2.64,MM106,,
T1,3,25,66.0,2.64,MM106,,
T1,4,26,66.0,2.54,MM106,,
T1,5,26,72.0,2.77,MM106,,
T1,6,25,71.0,2.84,MM106,,
T1,7,25,72.0,2.88,MM106,,
T1,8,25,72.0,2.88,MM106,,
T1,9,25,71.0,2.84,MM106,,
T1,10,26,74.0,2.85,MM106,,
T1,11,26,73.0,2.81,MM106,,
T1,12,26,74.0,2.85,MM106,,
T1,13,26,74.0,2.85,MM106,,
T1,14,25,75.0,3.0,MM106,,
T1,15,26,77.0,2.96,MM106,,
T1,16,27,77.0,2.85,MM106,,
T1,17,28,77.0,2.75,MM106,,
T1,18,28,76.0,2.71,MM106,,
T1,19,29,79.0,2.72,MM106,,
T1,20,29,83.0,2.86,MM106,,
T1,21,30,86.0,2.87,MM106,,
T1,22,31,89.0,2.87,MM106,,
T1,23,33,95.0,2.88,MM106,,
T1,24,34,98.0,2.88,MM106,,
T1,25,36,104.0,2.89,MM106,,
T1,26,38,107.0,2.82,MM106,,
T1,27,39,111.0,2.85,MM106,,
T1,28,39,117.0,3.0,MM106,,
T1,29,41,123.0,3.0,MM106,,
T1,30,44,130.0,2.95,MM106,,
T1,31,52,163.0,3.13,MM106,,
T1,32,51,164.0,3.22,MM106,,
T1,33,51,165.0,3.24,MM106,,
T1,34,53,165.0,3.11,MM106,,
T1,35,53,165.0,3.11,MM106,,
T1,36,56,168.0,3.0,MM106,,
T1,37,56,170.0,3.04,MM106,,
T1,38,57,170.0,2.98,MM106,,
T1,39,58,170.0,2.93,MM106,,
T1,40,58,170.0,2.93,MM106,,
T1,41,58,173.0,2.98,MM106,,
T1,42,56,173.0,3.09,MM106,,
T1,43,34,103.0,3.03,MM106,,
T1,44,23,78.0,3.39,MM106,,
T1,45,16,54.0,3.38,MM106,,
T1,46,10,30.0,3.0,MM106,,
T2,1,17,48.0,2.82,MM106,,
T2,2,21,60.0,2.86,MM106,,
T2,3,27,79.0,2.93,MM106,,
T2,4,30,90.0,3.0,MM106,,
T2,5,39,103.0,2.64,MM106,,
T2,6,41,117.0,2.85,MM106,,
T2,7,42,123.0,2.93,MM106,,
T2,8,41,123.0,3.0,MM106,,
T2,9,41,122.0,2.98,MM106,,
T2,10,40,123.0,3.08,MM106,,
T2,11,40,119.0,2.98,MM106,,
T2,12,40,120.0,3.0,MM106,,
T2,13,38,120.0,3.16,MM106,,
T2,14,39,119.0,3.05,MM106,,
T2,15,39,114.0,2.92,MM106,,
T2,16,36,116.0,3.22,MM106,,
T2,17,40,115.0,2.88,MM106,,
T2,18,37,112.0,3.03,MM106,,
T2,19,37,112.0,3.03,MM106,,
T2,20,36,111.0,3.08,MM106,,
T2,21,33,109.0,3.3,MM106,,
T2,22,36,108.0,3.0,MM106,,
T2,23,37,105.0,2.84,MM106,,
T2,24,35,106.0,3.03,MM106,,
T2,25,34,105.0,3.09,MM106,,
T2,26,35,101.0,2.89,MM106,,
T2,27,32,98.0,3.06,MM106,,
T2,28,33,99.0,3.0,MM106,,
T2,29,31,97.0,3.13,MM106,,
T2,30,32,96.0,3.0,MM106,,
T2,31,31,95.0,3.06,MM106,,
T2,32,32,92.0,2.88,MM106,,
T2,33,31,93.0,3.0,MM106,,
T2,34,30,92.0,3.07,MM106,,
T2,35,30,89.0,2.97,MM106,,
T2,36,29,89.0,3.07,MM106,,
T2,37,28,86.0,3.07,MM106,,
T2,38,28,84.0,3.0,MM106,,
T2,39,23,83.0,3.61,MM106,,
T2,40,17,68.0,4.0,MM106,,
T2,41,15,53.0,3.53,MM106,,
T2,42,,39.0,,MM106,,OUI
